Date,Open,High,Low,Close,Volume,Adj Close
2012/9/4,43.48,43.52,43.17,43.32,850600,38.32
2012/9/5,43.03,43.2,42.85,43.08,1502700,38.11
2012/9/6,43.49,44.45,43.48,44.26,2412400,39.15
2012/9/7,45.03,45.27,44.9,45.1,2167300,39.89
2012/9/10,45.05,45.27,44.87,44.89,1269500,39.71
2012/9/11,45.25,45.55,45.25,45.39,1778100,40.15
2012/9/12,45.98,46.27,45.71,45.8,1993600,40.51
2012/9/13,45.42,46.67,45.22,46.51,2620900,41.14
2012/9/14,47.24,47.64,47.22,47.42,1966600,41.95
2012/9/17,47.6,47.64,47.2,47.31,1124500,41.85
2012/9/18,46.62,47.09,46.56,47.07,1259000,41.64
2012/9/19,47.55,47.8,47.26,47.65,1717600,42.15
2012/9/20,47.21,47.66,47.03,47.65,1290000,42.15
2012/9/21,47.72,47.75,47.45,47.61,1363300,42.11
2012/9/24,47.16,47.73,47.1,47.53,1433200,42.04
2012/9/25,47.44,47.73,46.79,46.82,1210900,41.41
2012/9/26,46.47,46.56,46.13,46.46,1606000,41.1
2012/9/27,47.17,47.29,46.79,47.22,1558400,41.77
2012/9/28,46.83,46.88,46.3,46.46,1446400,41.1
2012/10/1,47.32,47.86,47.15,47.25,1442700,41.79
2012/10/2,47.55,47.56,46.83,46.99,920700,41.56
2012/10/3,47.44,47.45,47.16,47.28,923700,41.82
2012/10/4,47.78,48.07,47.57,48.03,1249200,42.48
2012/10/5,48.67,48.95,48.14,48.27,1437200,42.7
2012/10/8,47.83,47.95,47.7,47.85,937900,42.33
2012/10/9,47.59,47.71,47.2,47.3,1020900,41.84
2012/10/10,47.52,47.55,47.08,47.21,870200,41.76
2012/10/11,48.06,48.17,47.75,47.78,1124600,42.26
2012/10/12,47.96,48.2,47.7,47.92,1347900,42.39
2012/10/15,48.23,48.6,48.09,48.51,1474700,42.91
2012/10/16,49.22,49.42,49.15,49.28,2092000,43.59
2012/10/17,49.39,49.71,49.35,49.64,1086500,43.91
2012/10/18,49.71,49.94,49.31,49.53,1463500,43.81
2012/10/19,49.52,49.55,48.98,49.1,1377200,43.43
2012/10/22,49.57,49.79,49.29,49.76,1523400,44.01
2012/10/23,48.86,49.14,48.69,49.01,1874800,43.35
2012/10/24,48.97,49.12,48.71,48.86,1321900,43.62
2012/10/25,49.87,49.93,49.33,49.61,1465900,44.29
2012/10/26,49.22,49.51,49.03,49.28,1686800,43.99
2012/10/31,49.58,49.59,49.07,49.36,1303900,44.07
2012/11/1,49.83,50.46,49.78,50.35,2371500,44.95
2012/11/2,50.3,50.31,49.71,49.9,1590500,44.55
2012/11/5,49.37,49.64,49.3,49.52,1309700,44.21
2012/11/6,49.45,49.99,49.43,49.94,1266200,44.58
2012/11/7,49.15,49.17,48.59,48.81,1974300,43.57
2012/11/8,48.45,48.73,48.03,48.03,1793900,42.88
2012/11/9,47.47,48.1,47.47,47.91,1667600,42.77
2012/11/12,48.09,48.23,47.84,48.09,822900,42.93
2012/11/13,47.81,48.43,47.75,47.99,1041900,42.84
2012/11/14,48.33,48.39,47.47,47.51,2168600,42.41
2012/11/15,47.93,48.17,47.58,47.81,1508200,42.68
2012/11/16,47.59,47.82,47.21,47.75,1621500,42.63
2012/11/19,48.89,49.3,48.85,49.3,3292100,44.01
2012/11/20,48.58,49.08,48.51,49.03,2027300,43.77
2012/11/21,49.25,49.43,49.07,49.38,1478400,44.08
2012/11/23,50.03,50.26,49.97,50.23,850400,44.84
2012/11/26,49.66,49.86,49.56,49.86,1303200,44.51
2012/11/27,49.77,49.98,49.53,49.77,1148400,44.43
2012/11/28,49.44,50.06,49.23,50,1405200,44.64
2012/11/29,50.69,50.85,50.48,50.7,1617100,45.26
2012/11/30,51.2,51.32,51.03,51.13,2171500,45.65
