Date,Open,High,Low,Close,Volume,Adj Close
2012/9/4,47.47,47.76,46.76,47.36,7562300,47.36
2012/9/5,46.73,47.46,46.36,47.16,12460200,47.16
2012/9/6,47.61,49.27,47.55,48.91,14993800,48.91
2012/9/7,49,49.26,48.7,49.24,12394100,49.24
2012/9/10,49,49.13,48.48,48.53,10216300,48.53
2012/9/11,48.51,48.62,47.99,48.33,11985600,48.33
2012/9/12,48.44,48.8,47.69,47.99,8074500,47.99
2012/9/13,47.86,49.08,47.68,48.88,9376500,48.88
2012/9/14,49.22,50.65,49.11,49.97,14472300,49.97
2012/9/17,50.46,50.48,49.81,50.48,6782200,50.48
2012/9/18,49.87,50.16,49.63,49.96,8003800,49.96
2012/9/19,50.16,50.47,49.54,50.39,7099000,50.39
2012/9/20,50.29,50.34,49.7,50.08,7054400,50.08
2012/9/21,49.99,50.03,49.31,49.47,18311700,49.47
2012/9/24,49.33,49.63,48.85,49.31,7881800,49.31
2012/9/25,49.32,49.5,47.85,48.03,12220900,48.03
2012/9/26,47.91,48.15,47.36,47.54,12197000,47.54
2012/9/27,47.71,49.3,47.71,49.12,9744400,49.12
2012/9/28,49.06,49.19,48.23,48.37,7389300,48.37
2012/10/1,48.57,49.05,48.07,48.23,6552300,48.23
2012/10/2,48.58,48.67,47.95,48.4,4958500,48.4
2012/10/3,48.67,48.69,48.16,48.59,8871700,48.59
2012/10/4,49.7,50.24,49.31,49.49,10808200,49.49
2012/10/5,49.85,50.04,48.55,48.73,7137300,48.73
2012/10/8,48.33,48.85,47.48,47.92,10403200,47.92
2012/10/9,47.9,48,46.12,46.22,14506200,46.22
2012/10/10,46.4,46.94,46.18,46.76,11509400,46.76
2012/10/11,47.26,47.65,46.9,47.49,10972200,47.49
2012/10/12,47.62,48.07,47.51,47.85,7596800,47.85
2012/10/15,47.77,48.07,46.25,47.4,15151900,47.4
2012/10/16,47.66,48.48,47.25,48.24,9328400,48.24
2012/10/17,48.46,48.69,47.8,48.2,18208600,48.2
2012/10/18,48.43,50.94,48.37,50.83,34940500,50.83
2012/10/19,50.7,50.8,49.57,49.97,19802200,49.97
2012/10/22,49.93,50.55,49.81,50.15,9522500,50.15
2012/10/23,49.7,50.47,49.2,49.35,10377900,49.35
2012/10/24,49.46,49.58,48.32,48.88,11243600,48.88
2012/10/25,49.21,49.37,48.3,48.34,7408600,48.34
2012/10/26,48.36,49.77,48.2,49.51,10870100,49.51
2012/10/31,49.48,49.52,48.11,48.26,15870400,48.26
2012/11/1,48.44,49.48,48.13,49.22,7874600,49.22
2012/11/2,49.37,49.59,48.69,48.69,8160900,48.69
2012/11/5,48.77,49.45,48.4,49.35,5367000,49.35
2012/11/6,49.37,49.98,49.18,49.49,5960900,49.49
2012/11/7,48.81,49.2,48,48.4,11894700,48.4
2012/11/8,48.45,49.38,47.77,47.87,10133500,47.87
2012/11/9,47.53,48.45,47.31,47.73,9082900,47.73
2012/11/12,47.75,48.03,46.98,47.47,5922400,47.47
2012/11/13,47.18,48.21,47,47.74,6478600,47.74
2012/11/14,47.82,47.99,46.22,46.47,9618700,46.47
2012/11/15,46.31,46.65,45.66,46.52,8009200,46.52
2012/11/16,46.59,47.53,46.23,47.26,11293100,47.26
2012/11/19,47.73,48.25,47.48,47.92,8928700,47.92
2012/11/20,48.03,48.44,47.6,48.26,6602300,48.26
2012/11/21,48.26,48.8,48.03,48.63,7246800,48.63
2012/11/23,48.92,49.15,48.75,49.01,3991300,49.01
2012/11/26,49.41,51.78,49.37,51.4,18001400,51.4
2012/11/27,51.07,51.73,50.4,51.15,14123400,51.15
2012/11/28,51.04,51.53,50.49,51.47,9394400,51.47
2012/11/29,51.76,52.8,51.5,52.2,13727600,52.2
2012/11/30,52,53,51.85,52.82,11676100,52.82
2012/12/3,53.07,53.15,51.96,52.04,8482600,52.04
2012/12/4,52.05,52.12,51.41,51.99,8280900,51.99
2012/12/5,52.11,52.5,51.5,52.02,7945700,52.02
2012/12/6,51.99,52.72,51.78,51.99,7082400,51.99
2012/12/7,52.12,52.34,51.47,51.74,6297000,51.74
2012/12/10,51.94,51.99,50.79,51.17,7758800,51.17
2012/12/11,51.42,52.2,51.29,51.99,10375600,51.99
2012/12/12,52.03,52.65,51.81,51.86,8590700,51.86
2012/12/13,51.8,51.97,50.75,51.02,12421000,51.02
